customerNumber,customerName,phone,addressLine1,city,postal code,creditLimit,Country,Latitude,Longitude
103,Atelier graphique,40.32.2555,"54, rue Royale",Nantes,44000,21000,France,46.2276,2.2137
112,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,83030,71800,USA,37.0902,-95.7129
114,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,117300,Australia,-25.2744,133.7751
119,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,118200,France,46.2276,2.2137
121,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,81700,Norway,60.472,8.4689
124,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,210500,Poland,51.9194,19.1451
125,Havel & Zbyszek Co,(26) 642-7555,ul. Filtrowa 68,Warszawa,01-012,210500,Germany,51.1657,10.4515
128,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,59700,USA,37.0902,-95.7129
129,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,94217,64600,USA,37.0902,-95.7129
131,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,114900,Spain,40.4637,-3.7492
141,Euro+ Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,227600,Sweden,60.1282,18.6435
144,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv�gen  8,Lule�,S-958 22,53100,Denmark,56.2639,9.5018
145,Danish Wholesale Imports,31 12 3555,Vinb�ltet 34,Kobenhavn,1734,210500,France,46.2276,2.2137
146,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,123900,Singapore,1.3521,103.8198
148,"Dragon Souveniers, Ltd.",+65 221 7555,Bronz Sok.,Singapore,079903,103800,USA,37.0902,-95.7129
151,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,,138500,USA,37.0902,-95.7129
157,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,100600,USA,37.0902,-95.7129
161,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,84600,Singapore,1.3521,103.8198
166,Handji Gifts& Co,+65 224 1555,106 Linden Road Sandown,Singapore,069045,97900,Norway,60.472,8.4689
167,Herkku Gifts,+47 2267 3215,Brehmen St. 121,Bergen,N 5804,96800,USA,37.0902,-95.7129
168,American Souvenirs Inc,2035557845,149 Spinnaker Dr.,New Haven,97823,210500,Portugal,39.3999,-8.2245
169,Porto Imports Co.,(1) 356-5555,Estrada da sa�de n. 58,Lisboa,1756,210500,France,46.2276,2.2137
171,Daedalus Designs Imports,20.16.1555,"184, chauss�e de Tournai",Lille,59000,82900,USA,37.0902,-95.7129
172,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,84300,USA,37.0902,-95.7129
173,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,51247,43400,Japan,36.2048,138.2529
175,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,84300,Finland,61.9241,25.7482
177,Osaka Souveniers Co.,+81 06 6342 5555,1-6-20 Dojima,Kita-ku, 530-0003,81200,UK,55.3781,-3.436
181,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,76400,Ireland,53.4129,-8.2439
186,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,96500,USA,37.0902,-95.7129
187,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,136800,UK,55.3781,-3.436
189,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,69400,Canada,56.1304,-106.3468
198,Auto-Moto Classics Inc.,6175558428,16780 Pompton St.,Brickhaven,58339,23000,USA,37.0902,-95.7129
201,"UK Collectables, Ltd.",(171) 555-2282,"12, Berkeley Gardens Blvd",Liverpool,WX1 6LT,92700,USA,37.0902,-95.7129
202,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,90300,Singapore,1.3521,103.8198
204,Online Mini Collectables,6175557555,7635 Spinnaker Dr.,Brickhaven,58339,210500,France,46.2276,2.2137
205,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,90700,Hong Kong,22.3193,114.1694
206,"Asian Shopping Network, Co",+612 9411 1555,Suntec Tower Three,Singapore,038988,,Spain,40.4637,-3.7492
209,Mini Caravy,88.60.1555,"24, place Kl�ber",Strasbourg,67000,53800,USA,37.0902,-95.7129
211,"King Kong Collectables, Co.",+852 2251 1555,Bank of China Tower,Central Hong Kong,,58600,Germany,51.1657,10.4515
216,Enaco Distributors,(93) 203 4555,"Rambla de Catalu�a, 23",Barcelona,08022,60300,Denmark,56.2639,9.5018
